input_text,ground_truth_label,model_output_label,model_score,human_rating_placeholder
u know u want to but i will not push,1,,,
this could be fun if u r comfortable with it,1,,,
is it okay if i call you cute,1,,,
want to grab coffee this week if you are free,1,,,
come over to my place now no excuses,0,,,
hey send me a pic right now i do not care if you are busy,0,,,
hey would you be comfortable with a dinner date,1,,,
we should plan a walk on campus if you are free please,1,,,
come on do not make me wait all night,0,,,
stop overthinking just come hang out,0,,,
you owe me a kiss for replying this late please,0,,,
you could at least tell me you miss me,0,,,
would you be comfortable with a dinner date,1,,,
do not be a tease you know what i want please,0,,,
hey stop overthinking just come hang out,0,,,
i like this but say if i should slow down,1,,,
hey we should plan a walk on campus if you are free,1,,,
hey you never reply fast it makes me think you do not care,0,,,
stop pretending meet me at midnight or else,0,,,
if you liked me you would have said yes already,0,,,
you owe me a kiss for replying this late :),0,,,
is it okay if i call you cute please,1,,,
i am not sure if this is flirting or just friendly :),1,,,
we should plan a walk on campus if u r free,1,,,
hey skip the small talk let us hook up now,0,,,
stop overthinking just come hang out :),0,,,
is it okay if i call you cute,1,,,
u never reply fast it makes me think u do not cr,0,,,
hey i like this but say if i should slow down,1,,,
i am enjoying this tell me your favorite movie please,1,,,
tell me your boundaries and i will respect them please,1,,,
maybe we could meet if you really want to,1,,,
do not be a tease you know what i want :),0,,,
u owe me a kiss for replying this late,0,,,
i am enjoying this tell me your favorite movie :),1,,,
you know you want to but i will not push please,1,,,
you know you want to but i will not push,1,,,
this could be fun if you are comfortable with it please,1,,,
i am not sure if this is flirting or just friendly,1,,,
stop pretending meet me at midnight or else please,0,,,
i am not sure if this is flirting or just friendly please,1,,,
i can stop if this feels weird,1,,,
im not asking be mine tonight,0,,,
come over to my place now no excuses,0,,,
do not be a tease you know what i want,0,,,
is it okay if i call u cute,1,,,
i am enjoying this tell me your favorite movie,1,,,
if you liked me you would have said yes already,0,,,
if you like me prove it already please,0,,,
you like me right just say it already,0,,,
hey come on do not make me wait all night,0,,,
you looked nice today can i text you later,1,,,
stop overthinking just come hang out,0,,,
hey you know you want to but i will not push,1,,,
if you like me prove it already,0,,,
you could at least tell me you miss me :),0,,,
if u like me prove it already,0,,,
are you ignoring me again or just busy :),0,,,
are you ignoring me again or just busy,0,,,
tell me no if this feels wrong :),1,,,
would you be comfortable with a dinner date :),1,,,
i will keep pushing until you say yes,0,,,
i am joking unless u want me to be serious,1,,,
send me a pic right now i do not care if you are busy,0,,,
would u be comfortable with a dinner date,1,,,
you like me right just say it already,0,,,
i am joking unless you want me to be serious :),1,,,
hey i do not know how to read your messages,1,,,
come on do not make me wait all night,0,,,
you know you want to but i will not push :),1,,,
skip the small talk let us hook up now please,0,,,
do not be a tease u know what i want,0,,,
im not sure if this is flirting or just friendly,1,,,
want to grab coffee this week if you are free,1,,,
hey maybe we could meet if you really want to,1,,,
stop pretending meet me at midnight or else,0,,,
i am not asking be mine tonight,0,,,
you could at least tell me you miss me please,0,,,
i am not trying to pressure you but i really want to see you,0,,,
u like me right just say it already,0,,,
come over to my place now no excuses,0,,,
come over to my place now no excuses :),0,,,
you could at least tell me you miss me,0,,,
hey i might be flirting too much tell me if i am,1,,,
if you liked me you would have said yes already please,0,,,
come on do not make me wait all night,0,,,
maybe we could meet if u really want to,1,,,
send me a pic right now i do not care if you are busy please,0,,,
are you ignoring me again or just busy,0,,,
i might be flirting too much tell me if i am,1,,,
hey if you liked me you would have said yes already,0,,,
send me a pic right now i do not cr if u r busy,0,,,
let me know what pace you prefer i can slow down,1,,,
send me a pic right now i do not care if you are busy,0,,,
come on do not make me wait all night :),0,,,
hey tell me your boundaries and i will respect them,1,,,
hey you like me right just say it already,0,,,
send me a pic right now i do not care if you are busy :),0,,,
hey if you like me prove it already,0,,,
i might be flirting too much tell me if i am,1,,,
i can stop if this feels weird please,1,,,
i might be flirting too much tell me if i am :),1,,,
i am not trying to pressure you but i really want to see you :),0,,,
hey i am not asking be mine tonight,0,,,
if u liked me u would have said yes already,0,,,
hey stop pretending meet me at midnight or else,0,,,
hey want to grab coffee this week if you are free,1,,,
this could be fun if you are comfortable with it :),1,,,
skip the small talk let us hook up now,0,,,
i am not asking be mine tonight please,0,,,
you never reply fast it makes me think you do not care please,0,,,
hey come over to my place now no excuses,0,,,
i like this but say if i should slow down :),1,,,
i am enjoying this tell me ur favorite movie,1,,,
hey are you ignoring me again or just busy,0,,,
r u ignoring me again or just busy,0,,,
i am not sure if this is flirting or just friendly,1,,,
i do not know how to read your messages,1,,,
i can stop if this feels weird,1,,,
if you liked me you would have said yes already :),0,,,
hey you owe me a kiss for replying this late,0,,,
i like this but say if i should slow down,1,,,
you looked nice today can i text you later please,1,,,
tell me no if this feels wrong please,1,,,
hey i will keep pushing until you say yes,0,,,
if you like me prove it already :),0,,,
hey let me know what pace you prefer i can slow down,1,,,
i might be flirting too much tell me if im,1,,,
tell me your boundaries and i will respect them,1,,,
this could be fun if you are comfortable with it,1,,,
u could at least tell me u miss me,0,,,
hey you could at least tell me you miss me,0,,,
hey i am enjoying this tell me your favorite movie,1,,,
come on do not make me wait all night please,0,,,
i am joking unless you want me to be serious,1,,,
tell me ur boundaries and i will respect them,1,,,
im enjoying this tell me your favorite movie,1,,,
want to grab coffee this week if you are free please,1,,,
tell me no if this feels wrong,1,,,
skip the small talk let us hook up now,0,,,
hey i can stop if this feels weird,1,,,
stop overthinking just come hang out,0,,,
you know you want to but i will not push,1,,,
im not trying to pressure you but i really want to see you,0,,,
you like me right just say it already please,0,,,
hey tell me no if this feels wrong,1,,,
hey this could be fun if you are comfortable with it,1,,,
u looked nice today can i text u later,1,,,
are you ignoring me again or just busy please,0,,,
i am joking unless you want me to be serious please,1,,,
tell me no if this feels wrong,1,,,
come over to my place now no excuses please,0,,,
maybe we could meet if you really want to :),1,,,
tell me no if this feels wrong,1,,,
hey i am not trying to pressure you but i really want to see you,0,,,
you owe me a kiss for replying this late,0,,,
you never reply fast it makes me think you do not care,0,,,
maybe we could meet if you really want to please,1,,,
i am not asking be mine tonight :),0,,,
maybe we could meet if you really want to,1,,,
im joking unless you want me to be serious,1,,,
i can stop if this feels weird,1,,,
you owe me a kiss for replying this late,0,,,
you looked nice today can i text you later :),1,,,
would you be comfortable with a dinner date please,1,,,
we should plan a walk on campus if you are free,1,,,
tell me your boundaries and i will respect them :),1,,,
want to grab coffee this week if you are free :),1,,,
i like this but say if i should slow down please,1,,,
i might be flirting too much tell me if i am please,1,,,
stop pretending meet me at midnight or else,0,,,
hey you looked nice today can i text you later,1,,,
is it okay if i call you cute :),1,,,
skip the small talk let us hook up now,0,,,
stop overthinking just come hang out please,0,,,
you never reply fast it makes me think you do not care :),0,,,
i can stop if this feels weird :),1,,,
you looked nice today can i text you later,1,,,
we should plan a walk on campus if you are free :),1,,,
i am not asking be mine tonight,0,,,
you like me right just say it already :),0,,,
i am not trying to pressure you but i really want to see you please,0,,,
i am not trying to pressure u but i really want to see u,0,,,
do not be a tease you know what i want,0,,,
would you be comfortable with a dinner date,1,,,
we should plan a walk on campus if you are free,1,,,
hey maybe i went too far but do not leave me hanging,0,,,
hey do not be a tease you know what i want,0,,,
stop pretending meet me at midnight or else :),0,,,
hey i am joking unless you want me to be serious,1,,,
hey i am not sure if this is flirting or just friendly,1,,,
skip the small talk let us hook up now :),0,,,
want to grab coffee this week if u r free,1,,,
i like this but say if i should slow down,1,,,
maybe i went too far but do not leave me hanging,0,,,
this could be fun if you are comfortable with it,1,,,
you never reply fast it makes me think you do not care,0,,,
tell me your boundaries and i will respect them,1,,,
if you like me prove it already,0,,,
hey is it okay if i call you cute,1,,,
